Season,Week,Window,Away,Home,PctMarkets,Viewers
2023,1,Late,PHI,NE,69,21.35
2023,1,SNF,DAL,NYG,100,20.18
2023,1,Late,GB,CHI,84,16.27
2023,1,Early,CIN,CLE,52,12.82
2023,1,Early,SF,PIT,75,10.19
2022,18,Early,NE,BUF,79,22.73
2022,18,SNF,DET,GB,100,22.51
2022,18,Late,DAL,WSH,75,20.51
2022,18,Late Sat,TEN,JAX,100,19
2022,18,Early Sat,KC,LV,100,17.76
2022,18,Late,NYG,PHI,88,13.7
2022,18,Early,NYJ,MIA,46,9.42
2022,17,Late,MIN,GB,93,24.62
2022,17,Single,NO,PHI,19,22
2022,17,SNF,PIT,BAL,100,17.18
2022,17,Early,MIA,NE,46,14.58
2022,17,TNF,DAL,TEN,100,9.73
2022,16,Late,PHI,DAL,100,27.83
2022,16,Special,GB,MIA,100,25.92
2022,16,Special,DEN,LAR,100,22.57
2022,16,SNF,TB,ARI,100,17.15
2022,16,Early,SEA,KC,46,15.86
2022,16,Single,CIN,NE,51,15.3
2022,16,MNF,LAC,IND,100,10.94
2022,16,Special,LV,PIT,100,10.94
2022,16,TNF,JAX,NYJ,100,8.26
2022,15,Late,CIN,TB,90,21.45
2022,15,Single,DAL,JAX,51,18.66
2022,15,MNF,LAR,GB,100,16.03
2022,15,SNF,NYG,WSH,100,15.38
2022,15,Early,KC,HOU,43,14.83
2022,15,Special,MIA,BUF,100,11.06
2022,15,TNF,SF,SEA,100,10.31
2022,15,Special,BAL,CLE,100,8.97
2022,15,Special,IND,MIN,100,7.06
2022,14,Late,TB,SF,91,24.03
2022,14,Single,NYJ,BUF,46,17.45
2022,14,SNF,MIA,LAR,100,15.76
2022,14,Early,PHI,NYG,74,14.02
2022,14,MNF,NE,ARI,100,10.25
2022,14,TNF,LV,LAR,100,8.26
2022,13,Late,KC,CIN,88,23.41
2022,13,Single,TEN,PHI,35,19.17
2022,13,SNF,IND,DAL,100,18.13
2022,13,Early,NYJ,MIN,65,13.69
2022,13,MNF,NO,TB,100,11.27
2022,13,TNF,BUF,NE,100,9.97
2022,12,Special,NYG,DAL,100,42.06
2022,12,Special,BUF,DET,100,31.78
2022,12,Special,NE,MIN,100,24.78
2022,12,Late,LAR,KC,92,23.35
2022,12,SNF,GB,PHI,100,19.57
2022,12,Early,TB,CLE,38,13.72
2022,12,Single,CIN,TEN,52,13.13
2022,12,MNF,PIT,IND,100,10.88
2022,11,Late,DAL,MIN,90,27.55
2022,11,SNF,KC,LAC,100,17.89
2022,11,Single,DET,NYG,33,15.56
2022,11,Early,PHI,IND,52,15.26
2022,11,MNF,SF,ARI,100,11.17
2022,11,TNF,TEN,GB,100,10.32
2022,10,Late,DAL,GB,92,29.17
2022,10,Early,MIN,BUF,84,16.19
2022,10,SNF,LAC,SF,100,15.84
2022,10,Single,JAX,KC,100,14.46
2022,10,MNF,WSH,PHI,100,12.77
2022,10,TNF,ATL,CAR,100,6.8
2022,10,Germany,SEA,TB,100,5.55
2022,9,Late,LAR,TB,100,20.25
2022,9,SNF,TEN,KC,100,17.69
2022,9,Single,SEA,ARI,27,15.49
2022,9,Early,BUF,NYJ,60,13.88
2022,9,MNF,BAL,NO,100,10.53
2022,9,TNF,PHI,HOU,100,7.86
2022,8,Late,SF,LAR,47,24.93
2022,8,SNF,GB,BUF,100,19.62
2022,8,Single,PIT,PHI,40,16.13
2022,8,Early,CHI,DAL,85,11.94
2022,8,MNF,CIN,CLE,100,11.3
2022,8,TNF,BAL,TB,100,10.01
2022,7,Late,KC,SF,89,22.29
2022,7,SNF,PIT,MIA,100,15.53
2022,7,Single,DET,DAL,57,14.56
2022,7,Early,GB,WSH,46,13.36
2022,7,MNF,CHI,NE,100,11.83
2022,7,TNF,NO,ARI,100,7.82
2022,6,Late,BUF,KC,100,25.41
2022,6,SNF,DAL,PHI,100,20.79
2022,6,Single,NYJ,GB,48,16.37
2022,6,Early,BAL,NYG,100,13.45
2022,6,MNF,DEN,LAC,100,12.05
2022,6,TNF,WSH,CHI,100,8.79
2022,5,Late,DAL,LAR,100,24.25
2022,5,SNF,CIN,BAL,100,15.88
2022,5,MNF,LV,KC,100,15.79
2022,5,Single,PIT,BUF,100,14.7
2022,5,Early,ATL,TB,100,12.77
2022,5,TNF,IND,DEN,100,9.7
2022,5,London,NYG,GB,100,5.22
2022,4,Late,NE,GB,77,24.65
2022,4,SNF,KC,TB,100,20.85
2022,4,Single,WSH,DAL,48,15.33
2022,4,Early,BUF,BAL,63,14.64
2022,4,MNF,LAR,SF,100,12.5
2022,4,TNF,MIA,CIN,100,11.72
2022,4,London,MIN,NO,100,4.62
2022,3,Late,GB,TB,83,26.4
2022,3,MNF,DAL,NYG,100,19.34
2022,3,SNF,SF,DEN,100,17.8
2022,3,Single,KC,IND,27,14.68
2022,3,Early,BAL,NE,23,13.8
2022,3,TNF,PIT,CLE,100,11.03
2022,2,Late,DAL,CIN,100,27.39
2022,2,SNF,CHI,GB,100,19.55
2022,2,Single,TB,NO,47,16.23
2022,2,Early,NE,PIT,74,14.08
2022,2,TNF,LAC,KC,100,13.03
2022,2,MNF,MIN,PHI,100,12.86
2022,2,MNF,TEN,BUF,100,7.92
2022,1,SNF,TB,DAL,100,23.3
2022,1,Kickoff,BUF,LAR,100,19.94
2022,1,MNF,DEN,SEA,100,19.84
2022,1,Late,GB,MIN,86,18.55
2022,1,Early,PIT,CIN,58,17.39
2022,1,Late,KC,ARI,85,16.62
2022,1,Early,SF,CHI,52,12.15
